i,site
391,198-99208
1764,68-34305
1532,97-48671
388,192-96445
103,82-41221
1123,142-71172
1361,245-122724
1040,162-81125
1384,24-12166
1716,203-101532
636,119-59726
170,168-84207
558,48-24355
1907,73-36746
1961,110-55077
1418,68-34393
1254,32-16338
1864,160-80406
1484,107-53819
1154,207-103890
181,73-36887
1388,23-11682
1337,47-23930
1117,250-125315
98,214-107256
116,144-72108
31,103-51576
203,180-90171
1026,97-48767
810,69-34808
1693,85-42607
625,51-25761
1825,226-113391
1496,107-53656
1224,72-36259
452,233-116872
222,77-38534
207,173-86718
1914,60-30407
443,77-38574
694,198-99359
393,105-52543
942,230-115352
819,160-80349
1835,63-31617
957,26-13429
1711,33-16735
1542,164-82040
1332,78-39065
595,230-115400
456,187-93601
1677,52-26347
792,85-42865
1239,26-13291
1692,194-97185
1022,46-23121
1339,236-118129
1712,92-46270
1258,218-109154
1770,54-27233
1302,150-75327
703,113-56600
754,47-23989
356,65-32966
1721,44-22302
233,165-82565
475,215-107773
484,82-41045
614,47-23611
663,196-98477
809,184-92075
593,187-93796
1277,81-40637
493,153-76821
19,54-27284
741,11-5848
323,79-39924
825,185-92558
159,141-70545
1205,57-28849
166,72-36260
189,12-6083
223,182-91130
885,77-38745
1448,92-46285
165,110-55452
1847,128-64300
668,0-115
1726,117-58813
1648,197-98725
1984,238-119213
258,40-20210
1569,130-65296
374,154-77140
1311,46-23094
769,175-87821
1537,186-93247
447,173-86796
1555,78-39164
883,98-49168
779,147-73982
506,91-45541
851,134-67337
1948,69-34536
150,13-6999
318,101-50731
1615,31-15619
14,152-76489
1909,234-117373
1582,147-73689
500,88-44462
953,10-5118
1412,78-39330
1403,215-107630
497,172-86260
1730,78-39351
910,131-65617
689,81-40513
1861,235-117687
185,198-99107
1466,109-54925
198,134-67146
509,182-91266
377,235-117768
1767,38-19381
1831,178-89308
656,88-44085
1718,27-13695
988,234-117147
70,176-88342
1179,230-115109
530,90-45264
529,185-92840
1544,213-106546
1623,104-52192
190,87-43771
1739,227-113857
797,2-1440
1380,186-93497
745,142-71446
1020,203-101906
1358,123-61979
677,133-66603
231,207-103994
1987,54-27096
12,143-71674
873,80-40395
674,203-101672
263,62-31240
929,208-104070
882,162-81345
1201,122-61495
746,18-9208
50,0-1
124,189-94833
5,224-112317
725,169-84950
788,0-220
1592,149-74880
1392,98-49140
1312,194-97191
111,173-86844
144,39-19933
869,0-332
627,62-31085
511,3-1658
1281,199-99764
1097,48-24032
225,148-74096
1675,214-107002
1530,128-64178
1926,24-12059
504,50-25473
1486,239-119908
1451,138-69440
528,11-5906
444,26-13255
214,85-42884
590,121-60961
1396,19-9712
1456,108-54154
1454,180-90395
1752,200-100418
1054,143-71779
1922,163-81760
894,223-111820
326,240-120085
1570,28-14000
40,141-70569
927,161-80914
538,137-68728
1225,93-46720
1139,208-104303
122,93-46555
766,51-25929
24,234-117113
1326,88-44475
302,209-104859
1969,183-91633
549,45-22886
941,150-75497
1508,151-75723
1360,79-39785
756,232-116304
622,215-107984
292,25-12751
638,87-43594
1642,137-68773
1109,66-33213
966,93-46719
245,230-115463
1087,141-70877
32,164-82122
602,59-29647
563,242-121210
718,171-85615
1609,209-104610
123,215-107720
1086,133-66861
309,141-70684
1494,249-124590
333,91-45733
1923,209-104572
1052,226-113291
514,193-96554
940,188-94442
501,74-37216
866,237-118836
1242,221-110722
557,223-111559
284,11-5782
1776,31-15508
1182,232-116028
1836,243-121866
1962,3-1524
1971,197-98951
1260,194-97115
1148,26-13257
1066,143-71569
1633,98-49471
1251,197-98931
1175,62-31268
382,86-43478
1929,241-120810
1216,173-86953
1593,157-78925
352,176-88012
1732,20-10214
939,105-52931
160,76-38149
816,3-1931
