i,site
50,0-1
668,0-115
1028,0-123
1399,0-198
788,0-220
1981,0-318
869,0-332
671,0-380
1994,0-41
1620,0-470
397,0-57
1161,100-50004
1673,100-50066
740,100-50070
1005,100-50102
1010,100-50139
1608,100-50159
1237,100-50189
1709,100-50293
644,100-50464
334,100-50488
1942,101-50598
770,101-50606
1092,101-50620
318,101-50731
596,101-50761
127,101-50798
1935,101-50877
350,101-50926
215,102-51042
1547,102-51091
1315,102-51233
1241,102-51271
654,102-51301
1678,102-51342
1203,102-51361
547,102-51486
31,103-51576
1490,103-51582
1659,103-51733
205,103-51834
1411,103-51970
1313,103-51975
962,103-51987
75,104-52046
1817,104-52122
1887,104-52185
1623,104-52192
1163,104-52212
871,104-52228
157,104-52340
995,104-52414
753,104-52429
920,104-52477
1479,10-5116
953,10-5118
151,10-5145
1434,10-5152
1772,10-5178
1949,10-5221
898,10-5236
675,10-5240
1585,10-5304
1568,10-5454
1147,105-52538
393,105-52543
1991,105-52653
1334,105-52727
1931,105-52775
510,105-52811
939,105-52931
872,105-52949
471,105-52980
900,106-53076
1395,106-53211
903,106-53294
1485,106-53320
688,106-53380
841,106-53381
1023,106-53454
559,106-53460
704,106-53473
594,107-53637
1496,107-53656
1822,107-53755
1484,107-53819
702,107-53854
731,107-53868
828,107-53879
1207,107-53964
1616,107-53978
930,108-54011
287,108-54043
1456,108-54154
1844,108-54203
7,108-54240
892,108-54252
1498,108-54258
115,108-54369
717,108-54410
657,109-54702
630,109-54796
1768,109-54868
1466,109-54925
1657,110-55029
199,110-55036
1961,110-55077
477,110-55115
1405,110-55372
1945,110-55375
1387,110-55421
187,110-55432
1362,110-55451
165,110-55452
561,111-55568
1662,111-55613
720,111-55679
1766,111-55692
1228,111-55741
1098,111-55743
61,111-55745
1919,111-55756
539,111-55763
220,111-55788
488,111-55806
1668,111-55939
1082,111-55945
373,111-55974
1925,111-55980
773,112-56011
768,112-56014
358,112-56028
1794,112-56081
1865,112-56096
429,112-56136
1232,112-56144
1812,112-56181
481,112-56348
878,112-56359
1883,112-56401
1056,113-56575
703,113-56600
304,113-56610
1799,113-56733
1754,113-56741
673,113-56747
434,113-56763
932,113-56802
321,113-56824
1345,114-57143
384,114-57269
1305,114-57307
1259,114-57422
1995,114-57458
597,114-57486
1857,11-5505
295,11-5523
1918,11-5529
496,11-5569
74,115-57654
997,115-57803
1375,115-57852
253,115-57853
148,115-57943
607,115-57997
284,11-5782
741,11-5848
528,11-5906
1603,11-5941
624,116-58089
90,116-58168
648,116-58361
108,116-58402
925,116-58479
1960,117-58500
1468,117-58691
1890,117-58712
1726,117-58813
888,117-58920
586,117-58960
470,118-59004
1164,118-59047
513,118-59119
616,118-59139
748,118-59239
1727,118-59266
822,118-59295
670,118-59320
913,118-59436
983,118-59474
491,119-59533
565,119-59722
636,119-59726
1481,119-59756
1896,119-59886
1634,119-59894
1414,119-59958
1136,120-60070
1717,120-60170
965,120-60202
1390,120-60228
844,120-60243
1684,120-60391
1724,120-60449
578,120-60491
1993,121-60575
368,121-60579
1851,121-60584
1746,121-60605
1177,121-60744
1282,121-60801
174,121-60889
590,121-60961
1077,122-61223
1881,122-61305
751,122-61426
698,122-61461
1201,122-61495
576,123-61537
845,123-61549
479,123-61586
67,123-61587
1756,123-61718
293,123-61908
1358,123-61979
1134,124-62004
876,124-62172
1868,124-62288
338,124-62333
893,124-62408
1789,124-62455
1863,124-62495
1644,124-62499
1670,125-62727
852,125-62764
1307,12-6029
189,12-6083
276,12-6104
1306,12-6281
1057,12-6288
1874,12-6320
1089,12-6334
1113,12-6392
1090,126-63011
331,126-63104
975,126-63158
196,126-63161
1875,126-63194
1903,126-63202
774,126-63230
1552,126-63232
440,126-63272
17,126-63328
772,126-63422
1009,126-63486
933,127-63514
84,127-63598
383,127-63637
483,127-63660
25,127-63791
1924,127-63871
1545,127-63902
1284,128-64039
119,128-64138
1530,128-64178
1522,128-64277
1847,128-64300
838,128-64468
1039,128-64486
1416,128-64494
