site,i
242-121061-12,0
222-111110-12,1
17-8828-12,2
212-106057-12,3
251-125771-12,4
60-30474-12,5
174-87426-12,6
232-116297-12,7
192-96104-12,8
36-18471-12,9
102-51257-12,10
65-32881-12,11
144-72434-12,12
183-91889-12,13
228-114435-12,14
219-109895-12,15
175-87587-12,16
78-39393-12,17
218-109075-12,18
180-90021-12,19
18-9410-12,20
248-124299-12,21
68-34114-12,22
114-57482-12,23
80-40463-12,24
15-7500-12,25
82-41043-12,26
230-115405-12,27
24-12167-12,28
211-105954-12,29
233-116701-12,30
237-118854-12,31
58-29317-12,32
77-38778-12,33
58-29399-12,34
166-83448-12,35
67-33916-12,36
174-87399-12,37
146-73216-12,38
4-2468-12,39
208-104405-12,40
53-26952-12,41
189-94855-12,42
197-98876-12,43
153-76763-12,44
119-59623-12,45
233-116691-12,46
227-113967-12,47
210-105357-12,48
74-37401-12,49
153-76676-12,50
76-38083-12,51
154-77155-12,52
72-36305-12,53
236-118156-12,54
175-87790-12,55
197-98892-12,56
10-5027-12,57
203-101874-12,58
222-111313-12,59
199-99863-12,60
198-99205-12,61
203-101843-12,62
111-55942-12,63
76-38118-12,64
145-72628-12,65
152-76061-12,66
150-75372-12,67
192-96345-12,68
188-94219-12,69
226-113382-12,70
148-74010-12,71
125-62848-12,72
192-96490-12,73
164-82137-12,74
167-83885-12,75
106-53168-12,76
131-65781-12,77
30-15353-12,78
204-102274-12,79
242-121215-12,80
85-42683-12,81
86-43164-12,82
56-28400-12,83
163-81847-12,84
244-122129-12,85
86-43137-12,86
78-39265-12,87
242-121300-12,88
32-16009-12,89
75-37653-12,90
8-4457-12,91
143-71665-12,92
247-123730-12,93
158-79108-12,94
189-94880-12,95
15-7754-12,96
115-57785-12,97
143-71541-12,98
193-96631-12,99
92-46059-12,100
78-39227-12,101
211-105820-12,102
221-110615-12,103
201-100925-12,104
15-7631-12,105
142-71125-12,106
73-36731-12,107
86-43034-12,108
128-64394-12,109
216-108161-12,110
95-47532-12,111
141-70683-12,112
140-70247-12,113
247-123716-12,114
243-121875-12,115
246-123007-12,116
74-37258-12,117
62-31381-12,118
78-39367-12,119
205-102942-12,120
169-84969-12,121
4-2121-12,122
119-59535-12,123
75-37894-12,124
25-12605-12,125
149-74933-12,126
31-15830-12,127
83-41731-12,128
84-42107-12,129
241-120628-12,130
219-109652-12,131
6-3091-12,132
195-97950-12,133
66-33394-12,134
194-97039-12,135
