,c
0,123971
1,15933
2,82093
3,16862
4,97893
5,8415
6,107376
7,232
8,76441
9,3725
10,118884
11,98292
12,87748
13,28136
14,120295
15,36193
16,94723
17,122511
18,81043
19,11252
20,93186
21,72004
22,7606
23,118582
24,114912
25,15851
26,63694
27,100569
28,23177
29,11468
30,116672
31,10577
32,115587
33,43822
34,34422
35,95322
36,28263
37,25342
38,119140
39,91400
40,81877
41,99005
42,45963
43,85129
44,89855
45,31774
46,78485
47,52704
48,32214
49,83558
50,9026
51,124245
52,25090
53,34049
54,57543
55,6433
56,103101
57,111170
58,15113
59,79263
60,121713
61,47187
62,71561
63,90224
64,88629
65,120779
66,43362
67,110092
68,126345
69,15821
70,54907
71,72120
72,89629
73,88579
74,58952
75,76195
76,69306
77,118569
78,122746
79,58361
80,85292
81,18590
82,120604
83,19399
84,29612
85,18839
86,107995
87,117796
88,15921
89,25568
90,9583
91,32583
92,51118
93,26425
94,39012
95,37003
96,86736
97,52367
98,59138
99,38669
100,12151
101,86738
102,49675
103,115603
104,88711
105,95666
106,51248
107,93242
108,61832
109,34915
110,105156
111,107546
112,51911
113,39941
114,102340
115,122153
116,11319
117,9854
118,53369
119,119146
120,118933
121,63505
122,52498
123,105264
124,86340
125,108887
126,86981
127,11595
128,5510
129,119388
130,36210
131,113914
132,20757
133,68982
134,84199
135,25289
136,64356
137,5237
138,31946
139,116796
140,48309
141,101792
142,20707
143,111489
144,17657
145,99891
146,120736
147,6419
148,29629
149,58331
150,121388
151,69760
152,7866
153,105520
154,71296
155,5868
156,41080
157,5135
158,6768
159,119358
160,6783
161,79462
162,103134
163,77475
164,18525
165,90738
166,88833
167,4342
168,30644
169,2997
170,89991
171,33599
172,667
173,27534
174,92062
175,72607
176,1701
177,62664
178,22642
179,80662
180,88
181,64103
182,65911
183,66537
184,98749
185,52095
186,8903
187,32992
188,49996
189,98433
190,81664
191,114296
192,89622
193,100385
194,46390
195,32692
196,16581
197,23770
198,72979
199,11436
200,59111
201,37495
202,75017
203,96914
204,77861
205,30429
206,96560
207,51663
208,10158
209,28768
210,65721
211,49623
212,72252
213,63925
214,27987
215,94490
216,70002
217,32955
218,24837
219,80683
220,5809
221,7685
222,103993
223,117160
224,67004
225,73578
226,23545
227,58732
228,85539
229,112598
230,124506
231,110430
232,38043
233,27074
234,62112
235,99818
236,39763
237,15148
238,64143
239,109644
240,65710
241,54584
242,8991
243,40733
244,91412
245,30621
246,16040
247,110792
248,28627
249,107112
250,116109
251,43589
252,65023
253,40309
254,117605
255,104377
256,4927
257,9130
258,99150
259,3706
260,116163
261,63984
